NOM_ST_NO,ST_NO_1,ST_NO_2,ST_NO_3,ST_NO_4,ST_NO_5,ST_NO_6,ST_NO_7,ST_NO_8,ST_NO_9,ST_NO_10
DT0138D1,DT0138D5, , , , , , , , , 
DT0138D1,DT0138D8, , , , , , , , , 
DT0138D1,DT0138D8,DT0128D1, , , , , , , , 
DT0138D1,DT0128D1,DT0138D5, , , , , , , , 
DT0138D1,,,,,,,,,,
DT0138D2,,,,,,,,,,
DT0138D8, , , , , , , , , , 
DT0138D8,,,,,,,,,,
DT0140D1,DT0141D1, , , , , , , , , 
DT0140D1,DT0144D1,DT0141D1, , , , , , , , 
DT0140D1,DT0144D1,DT0141D1,DT0145D1, , , , , , , 
DT0140D1,DT0144D1,DT0141D1,DT0145D1,DT0143D1, , , , , , 
DT0140D1,DT0142D1,DT0144D1,DT0141D1,DT0145D1, , , , , , 
DT0141D1,DT0144D1,DT0145D1,DT0143D1, , , , , , , 
DT0142D1, , , , , , , , , , 
DT0142D1,DT0138D1,DT0138D8, , , , , , , , 
DT0142D1,DT0144D1,DT0140D1,DT0141D1,DT0145D1,DT0143D1, , , , , 
DT0142D1,,,,,,,,,,
DT0142D9, , , , , , , , , , 
DT0143D1, , , , , , , , , , 
DT0143D1,DT0143D8, , , , , , , , , 
DT0143D1,DT0128D1,DT0143D1, , , , , , , , 
DT0143D1,,,,,,,,,,
DT0143D2, , , , , , , , , , 
DT0143D2,,,,,,,,,,
DT0143D8, , , , , , , , , , 
DT0143D8,DT0138D1, , , , , , , , , 
DT0143D8,,,,,,,,,,
DT0143D9, , , , , , , , , , 
DT0143D9,,,,,,,,,,
DT0144D1, , , , , , , , , , 
DT0144D1,DT0141D1, , , , , , , , , 
DT0144D1,DT0145D1, , , , , , , , , 
DT0144D1,DT0148D1, , , , , , , , , 
DT0144D1,DT0145D1,DT0128D1, , , , , , , , 
DT0144D1,DT0140D1,DT0141D1, , , , , , , , 
DT0144D1,DT0141D1,DT0145D1, , , , , , , , 
DT0144D1,DT0145D1,DT0148D1, , , , , , , , 
DT0144D1,DT0145D1,DT0148D1,DT0128D1, , , , , , , 
DT0144D1,DT0140D1,DT0141D1,DT0145D1, , , , , , , 
